,QuestionID,QuestionType,Query,SimlexPair,Answer1,Answer2,Answer3,Answer4,Answer5
59,QID9935,SeenWith,orthodontist,doctor,doctor,none,thug,priest,judge
60,QID9947,IsA,president,mayor,kid,mayor,millionaire,none,stranger
61,QID9938,SeenWith,teacher,friend,friend,boss,none,companion,senator
62,QID9939,IsA,teacher,instructor,none,geek,instructor,principal,friend
63,QID9939,IsA,teacher,friend,none,geek,instructor,principal,friend
64,QID8544,SeenWith,partner,boy,intern,boy,none,mentor,coach
65,QID8545,SeenWith,sheriff,cop,none,guy,clown,Jew,cop
66,QID8546,IsA,woman,wife,chief,paranoid person,none,socialist,wife
67,QID8547,IsA,man,child,leader,Catholic,homosexual person,child,none
68,QID8540,SeenWith,instructor,teacher,none,photographer,king,professor,teacher
69,QID8541,IsA,woman,wife,teenager,maid,brother,none,wife
70,QID7941,SeenWith,bishop,archbishop,stranger,child,archbishop,none,warrior
71,QID7940,IsA,daughter,kid,goon,teenager,none,kid,minor
72,QID7943,IsA,priest,monk,monk,patriot,chef,none,ambassador
73,QID7942,IsA,bride,princess,princess,parent,sister,none,fighter
74,QID7945,SeenWith,lawyer,attorney,attorney,sailor,goon,guardian,none
75,QID8542,SeenWith,monk,priest,African American,parent,none,entrepreneur,priest
76,QID7947,SeenWith,creator,author,architect,intellectual,none,apprentice,author
77,QID7946,SeenWith,scientist,nurse,king,nurse,warrior,sailor,none
78,QID7949,IsA,composer,writer,geek,champion,none,writer,Clinton supporter
79,QID7948,SeenWith,bishop,archbishop,none,grandfather,host,chairman,archbishop
80,QID8543,IsA,author,reader,reader,Muslim,virgin,sister,none
81,QID8391,IsA,girl,maid,companion,none,parent,prisoner,maid
82,QID8390,IsA,champion,winner,guardian,winner,none,economist,sibling
83,QID8393,IsA,prince,king,king,warrior,ambassador,relative,none
84,QID8392,IsA,leader,manager,CEO,loser,manager,none,sheriff
85,QID8467,IsA,groom,bride,bride,priest,none,clown,tourist
86,QID8394,IsA,author,reader,none,reader,hooker,bishop,sibling
87,QID8397,IsA,cousin,uncle,none,employee,uncle,stranger,Baptist
88,QID9094,SeenWith,gentleman,lady,lady,none,maid,buddy,king
89,QID8396,SeenWith,sailor,captain,grandmother,Arab person,comedian,captain,none
90,QID9237,SeenWith,helper,teacher,minor,defendant,none,teacher,priest
91,QID9236,IsA,child,adult,white person,economist,adult,none,African American
92,QID10289,SeenWith,sheriff,cop,principal,secretary,none,fan,cop
93,QID9129,IsA,physician,doctor,doctor,thug,none,white man,gangster
94,QID9128,SeenWith,uncle,man,athlete,white woman,stud,none,man
95,QID9125,IsA,worker,mechanic,none,mechanic,archbishop,neighbor,jerk
96,QID9124,SeenWith,aunt,uncle,none,prisoner,pastor,sister,uncle
97,QID9127,IsA,helper,maid,warrior,maid,consultant,photographer,none
98,QID9126,IsA,actor,singer,lady,none,sister,scientist,singer
99,QID9121,SeenWith,professor,student,sailor,companion,senator,student,none
100,QID9120,IsA,chief,mayor,orthodontist,witness,mayor,none,prisoner
101,QID9123,IsA,king,princess,baker,none,liberal,princess,comedian
102,QID9122,SeenWith,guardian,adult,grandmother,adult,designer,singer,none
103,QID9620,IsA,bride,princess,farmer,geek,none,paranoid person,princess
104,QID10288,IsA,brother,son,author,son,warrior,criminal,none
105,QID9963,SeenWith,singer,actor,none,president,actor,son,jerk
106,QID9962,IsA,actress,actor,entrepreneur,actor,companion,none,teacher
107,QID8892,SeenWith,husband,wife,teacher,surgeon,wife,none,comedian
108,QID8721,SeenWith,manager,leader,none,reader,leader,African American,conservative
109,QID8722,SeenWith,creator,author,Muslim,author,none,democrat,prisoner
110,QID8723,IsA,priest,monk,writer,democrat,monk,consultant,none
111,QID8724,IsA,archbishop,bishop,bishop,prince,American,Muslim,none
112,QID8725,SeenWith,maid,girl,instructor,none,drunk person,girl,worker
113,QID8894,IsA,lawyer,banker,girlfriend,chef,maid,none,banker
114,QID8895,SeenWith,child,man,Catholic,none,man,drunk person,rich person
115,QID8728,IsA,student,professor,sister,reader,professor,fighter,none
116,QID8729,IsA,worker,mechanic,none,chef,person of color,mechanic,athlete
117,QID8898,SeenWith,king,prince,none,prince,grandfather,boss,lady
118,QID8899,SeenWith,sailor,captain,comedian,innocent person,none,entrepreneur,captain
119,QID9385,SeenWith,man,woman,goon,woman,defendant,gay person,none
120,QID9384,SeenWith,guy,friend,senator,friend,boy,none,jerk
121,QID9313,IsA,author,creator,creator,gentleman,partner,none,mechanic
122,QID9386,IsA,boy,son,author,boxer,none,chef,son
123,QID9639,IsA,man,husband,stud,accountant,none,husband,follower
124,QID9638,IsA,girl,child,white woman,child,police officer,warrior,none
125,QID9968,SeenWith,stud,guy,sailor,guy,none,toddler,athlete
126,QID9631,SeenWith,president,pupil,Baptist,friend,none,bully,pupil
127,QID9630,IsA,friend,guy,guy,rich person,surgeon,none,wife
128,QID9633,SeenWith,employer,worker,follower,witness,leader,none,worker
129,QID9632,SeenWith,bride,groom,hooker,warrior,groom,none,guest
130,QID9635,IsA,actor,singer,composer,stud,none,singer,lady
131,QID9634,SeenWith,partner,guy,none,guy,physician,liberal,girl
132,QID9637,IsA,king,princess,princess,woman,Christian,none,Hispanic person
133,QID9636,IsA,boy,soldier,wife,principal,soldier,none,priest
134,QID9411,IsA,politician,president,worker,hostage,governor,president,none
135,QID9410,SeenWith,lawyer,attorney,attorney,dad,colonel,none,priest
136,QID9413,SeenWith,companion,buddy,baker,none,Baptist,warrior,buddy
137,QID9412,SeenWith,partner,guy,guy,none,American,hooker,bishop
138,QID9415,IsA,man,uncle,none,apprentice,uncle,employee,Muslim
139,QID9414,SeenWith,instructor,teacher,orthodontist,teacher,none,democrat,black man
140,QID9417,IsA,cop,sheriff,none,democrat,sheriff,captain,sibling
141,QID9416,IsA,girl,child,child,liar,celebrity,none,consultant
142,QID9419,SeenWith,son,boy,follower,none,rapper,thief,boy
143,QID9418,IsA,leader,manager,manager,racist,pupil,none,writer
144,QID10205,IsA,guy,stud,gunman,stud,banker,black person,none
145,QID10204,IsA,lover,companion,orthodontist,none,mayor,companion,white man
146,QID8098,IsA,pupil,president,CEO,bishop,American,president,none
147,QID8099,IsA,helper,maid,none,grandmother,parent,rich person,maid
148,QID10201,IsA,captain,sailor,none,sailor,tourist,president,singer
149,QID10200,IsA,lover,companion,none,academic,buddy,companion,composer
150,QID10203,IsA,man,warrior,president,bride,none,celebrity,warrior
151,QID10202,IsA,attorney,lawyer,mayor,none,white person,lawyer,doctor
152,QID8092,IsA,prince,king,doctor,king,liberal,none,poor person
153,QID8093,SeenWith,guardian,adult,adult,intern,Hispanic person,none,accountant
154,QID8090,SeenWith,secretary,woman,hero,woman,actress,none,victim
155,QID8091,IsA,actress,actor,archbishop,actor,none,hostage,conservative
156,QID8096,SeenWith,manager,leader,none,black man,lady,leader,American
157,QID8097,SeenWith,employee,employer,Asian,punk,employer,none,Clinton supporter
158,QID8094,IsA,aunt,nephew,apprentice,none,nephew,princess,employer
159,QID8095,SeenWith,princess,king,king,entrepreneur,chief,none,virgin
160,QID9257,SeenWith,child,girl,loser,idiot,girl,none,celebrity
161,QID9256,IsA,teacher,instructor,gay person,governor,uncle,instructor,none
162,QID9255,IsA,leader,manager,mom,none,manager,boxer,pastor
163,QID9254,SeenWith,banker,lawyer,none,gay person,bishop,lawyer,rapper
164,QID8658,IsA,physician,doctor,entrepreneur,doctor,extremist,none,guardian
165,QID8659,IsA,brother,son,son,Clinton supporter,senator,marine,none
166,QID9251,SeenWith,companion,buddy,none,buddy,juror,drunk person,journalist
167,QID9250,SeenWith,man,woman,guardian,woman,governor,none,bachelor
168,QID8654,IsA,student,professor,architect,professor,African American,gangster,none
169,QID8655,IsA,daughter,kid,son,none,designer,paranoid person,kid
170,QID8656,SeenWith,partner,guy,none,genius,accountant,president,guy
171,QID8657,SeenWith,husband,man,child,mentor,fan,man,none
172,QID8650,IsA,author,creator,banker,creator,none,thief,child
173,QID8651,SeenWith,brother,boy,none,victim,sibling,Catholic,boy
174,QID8652,SeenWith,helper,teacher,mistress,teenager,none,champion,teacher
175,QID8653,IsA,priest,monk,none,mistress,Muslim,chief,monk
176,QID8074,IsA,prince,king,freak,none,principal,alcoholic,king
177,QID8075,IsA,king,princess,none,designer,drunk person,princess,employer
178,QID8076,IsA,prince,king,king,bully,none,republican,fan
179,QID8077,SeenWith,child,girl,blonde,none,girl,engineer,rapper
180,QID8070,SeenWith,child,girl,girl,judge,none,American,reader
181,QID8071,IsA,politician,president,president,guy,helper,none,dad
182,QID8072,IsA,captain,sailor,pupil,sailor,Trump supporter,none,bully
183,QID8073,IsA,girl,child,child,patriot,aunt,poor person,none
184,QID8078,IsA,boy,soldier,none,patriot,sheriff,soldier,intellectual
185,QID8079,IsA,student,pupil,none,pupil,kid,creator,nurse
186,QID10287,SeenWith,bishop,archbishop,Catholic,instructor,guardian,archbishop,none
187,QID8386,SeenWith,lawyer,attorney,attorney,colonel,none,executive,dad
188,QID8387,IsA,child,boy,hostage,none,boy,friend,neighbor
189,QID8384,SeenWith,winner,champion,paranoid person,black person,executive,none,champion
190,QID8385,SeenWith,guest,friend,instructor,friend,none,chairman,lawyer
191,QID8382,SeenWith,kid,daughter,none,Hispanic person,blonde,daughter,intern
192,QID8383,SeenWith,king,prince,minor,prince,none,actor,cop
193,QID8380,SeenWith,husband,wife,none,stud,wife,Asian,democrat
194,QID8381,IsA,child,adult,adult,pastor,patient,archbishop,none
195,QID10371,IsA,president,mayor,mayor,prince,rapper,liar,none
196,QID10370,IsA,pupil,president,none,president,terrorist,saint,alcoholic
197,QID10373,SeenWith,president,politician,politician,gay person,black person,none,surgeon
198,QID10372,IsA,woman,man,man,bachelor,defendant,none,kid
199,QID10375,IsA,student,professor,colonel,terrorist,none,colleague,professor
200,QID10374,IsA,doctor,professor,criminal,socialist,none,professor,surgeon
201,QID8388,IsA,friend,guest,addict,none,guest,lover,mom
202,QID8389,IsA,lady,gentleman,bachelor,girl,gentleman,composer,none
203,QID8478,SeenWith,reader,author,none,groom,Hispanic person,author,wife
204,QID8479,IsA,woman,wife,none,wife,liar,Trump supporter,judge
205,QID10143,SeenWith,partner,boy,racist,boy,gangster,virgin,none
206,QID8470,IsA,lady,gentleman,paranoid person,journalist,parent,gentleman,none
207,QID8471,SeenWith,employer,worker,chef,worker,none,chief,farmer
208,QID8472,IsA,parent,adult,thug,adult,none,musician,neighbor
209,QID8473,IsA,uncle,cousin,politician,none,cousin,aunt,cop
210,QID8473,IsA,uncle,aunt,politician,none,cousin,aunt,cop
211,QID8474,SeenWith,mayor,president,president,reader,pastor,none,Trump supporter
212,QID8475,SeenWith,writer,composer,uncle,jerk,employee,none,composer
213,QID8476,IsA,president,mayor,cop,banker,mayor,musician,none
214,QID8477,IsA,actress,actor,actor,Trump supporter,supervisor,none,racist
215,QID10141,SeenWith,maid,girl,girl,Clinton supporter,middle class person,gunman,none
216,QID10340,SeenWith,stud,guy,guy,princess,champion,none,Clinton supporter
217,QID10146,SeenWith,king,prince,soldier,none,saint,prince,brother
218,QID10147,SeenWith,employee,employer,thug,bishop,none,employer,democrat
219,QID10144,IsA,man,husband,white man,girlfriend,husband,dad,none
220,QID10145,SeenWith,buddy,friend,terrorist,alcoholic,none,friend,adult
221,QID10061,SeenWith,buddy,friend,none,virgin,nephew,president,friend
222,QID10159,IsA,king,princess,tourist,soldier,surgeon,princess,none
223,QID10158,IsA,nurse,scientist,none,scientist,hostage,hooker,patriot
224,QID10155,IsA,boy,kid,none,kid,clown,pimp,entrepreneur
225,QID10154,IsA,prince,king,baker,juror,mentor,none,king
226,QID10157,IsA,guy,partner,witness,none,partner,terrorist,woman
227,QID10156,SeenWith,creator,author,principal,none,author,boy,sheriff
228,QID10151,IsA,actress,actor,none,sister,actor,champion,baker
229,QID10150,IsA,politician,president,comedian,none,manager,Catholic,president
230,QID10153,SeenWith,gentleman,lady,black person,none,lady,priest,Muslim
231,QID10152,IsA,politician,president,athlete,princess,president,none,friend
232,QID8272,IsA,nurse,scientist,principal,governor,none,scientist,thief
233,QID8273,IsA,captain,sailor,American,sailor,none,brother,toddler
234,QID8270,IsA,uncle,aunt,CEO,aunt,daughter,none,pastor
235,QID8271,SeenWith,husband,man,juror,pupil,pimp,none,man
236,QID8276,SeenWith,wife,woman,woman,ambassador,none,minority,brother
237,QID8277,IsA,worker,employer,stud,none,employer,clown,hostage
238,QID8274,IsA,boy,partner,CEO,none,partner,pupil,African American
239,QID8275,IsA,worker,mechanic,mechanic,patriot,white person,none,villain
240,QID8278,IsA,uncle,aunt,artist,governor,reader,none,aunt
241,QID8279,IsA,guy,stud,none,stud,orthodontist,saint,paranoid person
242,QID7797,SeenWith,adult,parent,composer,consultant,parent,sister,none
243,QID10341,SeenWith,girl,guy,guy,uncle,none,academic,nurse
244,QID9218,IsA,actor,singer,Catholic,loser,none,singer,millionaire
245,QID10142,SeenWith,uncle,cousin,kid,cousin,author,none,singer
246,QID9212,SeenWith,president,politician,tutor,niece,none,champion,politician
247,QID10386,IsA,physician,doctor,wife,friend,doctor,none,helper
248,QID10140,IsA,actor,singer,farmer,American,singer,atheist,none
249,QID9214,IsA,worker,mechanic,none,neighbor,son,prince,mechanic
250,QID9521,SeenWith,actor,actress,actress,tourist,scientist,none,grandmother
251,QID7958,SeenWith,companion,lover,lover,executive,gentleman,none,celebrity
252,QID7959,IsA,friend,guy,mistress,none,warrior,grandmother,guy
253,QID7956,IsA,friend,teacher,president,none,teacher,nurse,mistress
254,QID7957,SeenWith,son,brother,colonel,none,architect,brother,alcoholic
255,QID7954,SeenWith,mayor,president,atheist,attorney,ambassador,none,president
256,QID7955,IsA,boy,kid,kid,prince,monk,criminal,none
257,QID7952,SeenWith,president,politician,republican,none,politician,monk,saint
258,QID7953,SeenWith,banker,lawyer,designer,lawyer,none,Baptist,pimp
259,QID7950,IsA,friend,guest,sailor,gangster,guest,woman,none
260,QID7951,SeenWith,nephew,aunt,aunt,musician,none,Mexican,drunk person
261,QID9524,IsA,child,boy,monk,none,boy,poor person,employee
262,QID9526,IsA,cop,sheriff,none,white person,lady,sheriff,criminal
263,QID9529,SeenWith,partner,guy,person of color,guy,none,chief,extremist
264,QID9528,SeenWith,warrior,man,baker,liberal,man,helper,none
265,QID10298,SeenWith,girl,guy,author,attorney,guy,none,homosexual person
266,QID9138,IsA,guy,stud,patient,fighter,stud,CEO,none
267,QID9139,IsA,man,child,racist,niece,child,none,employee
268,QID9132,SeenWith,maid,helper,sibling,helper,villain,lawyer,none
269,QID9133,IsA,actor,singer,princess,guy,academic,singer,none
270,QID9130,SeenWith,manager,leader,comedian,woman,none,leader,customer
271,QID9131,IsA,boy,brother,Hispanic person,none,punk,brother,niece
272,QID9136,SeenWith,employee,employer,none,wife,chief,employer,leader
273,QID9137,SeenWith,kid,daughter,daughter,paranoid person,none,guest,atheist
274,QID9134,IsA,composer,writer,student,comedian,writer,Arab person,none
275,QID9135,SeenWith,aunt,uncle,champion,none,partner,uncle,scientist
276,QID9396,SeenWith,nephew,aunt,aunt,terrorist,none,boss,secretary
277,QID9397,IsA,cop,sheriff,son,mentor,monk,sheriff,none
278,QID9394,SeenWith,mechanic,worker,rich person,author,worker,none,secretary
279,QID9395,SeenWith,bride,groom,physician,groom,partner,terrorist,none
280,QID9392,SeenWith,president,politician,none,politician,dad,musician,pupil
281,QID9392,SeenWith,president,pupil,none,politician,dad,musician,pupil
282,QID9393,IsA,aunt,nephew,witness,nephew,comedian,none,fan
283,QID9390,SeenWith,teacher,friend,friend,maid,boss,architect,none
284,QID9391,IsA,adult,guardian,pastor,bully,none,boxer,guardian
285,QID9398,IsA,guy,girl,student,none,toddler,girl,host
286,QID9399,IsA,buddy,companion,millionaire,none,helper,companion,designer
287,QID9626,IsA,student,pupil,pupil,principal,none,thief,liberal
288,QID9627,IsA,champion,winner,cousin,stranger,none,winner,boyfriend
289,QID9624,IsA,uncle,aunt,black woman,grandmother,none,supervisor,aunt
290,QID9625,IsA,wife,husband,priest,marine,white woman,husband,none
291,QID8719,IsA,brother,son,loser,monk,none,son,hostage
292,QID8718,SeenWith,warrior,man,photographer,freak,none,girlfriend,man
293,QID8869,IsA,physician,doctor,author,principal,alcoholic,none,doctor
294,QID8868,IsA,parent,adult,none,adult,celebrity,woman,tourist
295,QID8867,SeenWith,partner,guy,dad,bully,guy,none,Baptist
296,QID8866,SeenWith,girl,guy,academic,rich person,attorney,none,guy
297,QID8865,IsA,adult,guardian,guardian,leader,American,manager,none
298,QID8864,SeenWith,man,woman,none,teacher,woman,athlete,alcoholic
299,QID8711,IsA,boy,brother,loser,kid,none,brother,genius
300,QID8711,IsA,boy,kid,loser,kid,none,brother,genius
301,QID8710,IsA,pupil,president,singer,president,mentor,jerk,none
302,QID8713,SeenWith,singer,actor,gay person,American,judge,actor,none
303,QID8712,IsA,girl,maid,Clinton supporter,boyfriend,none,maid,gangster
304,QID9408,SeenWith,king,prince,none,nurse,prince,bride,farmer
305,QID9409,IsA,adult,guardian,none,reader,lawyer,designer,guardian
306,QID9406,SeenWith,instructor,teacher,economist,police officer,American,teacher,none
307,QID9407,IsA,friend,buddy,consultant,buddy,partner,boyfriend,none
308,QID9404,IsA,girl,child,child,white man,teacher,none,lover
309,QID9405,SeenWith,partner,boy,lover,hostage,boy,villain,none
310,QID9402,IsA,friend,guy,fighter,none,guy,mom,criminal
311,QID9403,IsA,student,pupil,none,designer,worker,terrorist,pupil
312,QID9400,SeenWith,reader,author,author,wife,none,colleague,banker
313,QID9401,IsA,worker,mechanic,none,celebrity,mechanic,girlfriend,secretary
314,QID10238,IsA,guy,partner,none,monk,neighbor,partner,engineer
315,QID10239,IsA,prince,king,brother,musician,none,black person,king
316,QID8669,IsA,employer,employee,ambassador,employee,wife,executive,none
317,QID8668,IsA,teacher,helper,sheriff,criminal,helper,champion,none
318,QID9246,SeenWith,son,boy,ambassador,Trump supporter,none,adult,boy
319,QID9247,IsA,man,uncle,none,baker,groom,uncle,witness
320,QID9240,IsA,friend,teacher,blogger,clown,teacher,none,kid
321,QID9241,IsA,guy,partner,none,guest,daughter,teacher,partner
322,QID9242,IsA,friend,buddy,none,hostage,buddy,woman,employee
323,QID9243,SeenWith,son,boy,student,boy,none,musician,prince
324,QID8661,IsA,priest,monk,Asian,monk,none,geek,ambassador
325,QID8660,IsA,woman,secretary,daughter,cop,none,president,secretary
326,QID8663,IsA,woman,man,man,none,gangster,guest,kid
327,QID8662,SeenWith,partner,guy,maid,none,engineer,principal,guy
328,QID8665,IsA,pupil,president,husband,president,creator,none,gentleman
329,QID8664,IsA,wife,husband,pimp,Trump supporter,husband,none,cousin
330,QID8667,IsA,doctor,orthodontist,journalist,princess,none,orthodontist,senator
331,QID8666,IsA,woman,secretary,employee,person of color,Trump supporter,secretary,none
332,QID8041,SeenWith,partner,boy,captain,stranger,victim,none,boy
333,QID8040,IsA,guy,stud,reader,nephew,homosexual person,stud,none
334,QID8043,IsA,actor,singer,guy,none,singer,child,attorney
335,QID8042,SeenWith,bride,groom,prince,actor,groom,none,champion
336,QID8045,SeenWith,aunt,uncle,accountant,uncle,soldier,minor,none
337,QID8044,SeenWith,secretary,woman,alcoholic,innocent person,woman,conservative,none
338,QID8047,IsA,pupil,president,Arab person,president,none,criminal,stranger
339,QID8046,IsA,groom,bride,teenager,bride,bishop,none,priest
340,QID8049,SeenWith,singer,actor,pastor,actor,teenager,economist,none
341,QID8048,IsA,woman,wife,fan,actor,terrorist,none,wife
342,QID10231,SeenWith,monk,priest,none,nephew,Jew,priest,entrepreneur
343,QID10098,IsA,wife,husband,Catholic,socialist,groom,none,husband
344,QID10099,IsA,friend,guest,economist,none,Catholic,thug,guest
345,QID10094,IsA,man,child,intellectual,Arab person,lady,child,none
346,QID10095,IsA,child,boy,athlete,boy,author,freak,none
347,QID10096,SeenWith,doctor,physician,instructor,socialist,host,physician,none
348,QID10097,SeenWith,guy,friend,friend,victim,none,fan,Jew
349,QID10090,IsA,doctor,professor,none,professor,son,addict,ambassador
350,QID10091,SeenWith,princess,bride,none,democrat,employee,grandfather,bride
351,QID10092,IsA,lover,companion,companion,accountant,idiot,none,soldier
352,QID10093,IsA,man,husband,athlete,none,farmer,actress,husband
353,QID8445,IsA,friend,guy,none,drunk person,toddler,guy,bride
354,QID8444,IsA,pupil,president,husband,president,sailor,none,prisoner
355,QID8447,IsA,helper,maid,journalist,Catholic,maid,none,teacher
356,QID8447,IsA,helper,teacher,journalist,Catholic,maid,none,teacher
357,QID8446,SeenWith,scientist,nurse,none,Jew,nurse,African American,Baptist
358,QID8441,IsA,author,creator,none,creator,husband,black man,grandmother
359,QID8440,SeenWith,winner,champion,guardian,none,champion,adult,supervisor
360,QID8443,IsA,man,husband,none,follower,musician,worker,husband
361,QID8442,SeenWith,maid,girl,girl,parent,none,middle class person,Christian
362,QID10304,SeenWith,lawyer,attorney,teacher,attorney,priest,none,governor
363,QID10305,IsA,groom,bride,author,African American,engineer,bride,none
364,QID10306,SeenWith,mechanic,worker,none,worker,poor person,grandmother,paranoid person
365,QID10307,IsA,guy,partner,creator,partner,Arab person,none,blogger
366,QID8449,SeenWith,son,brother,chairman,conservative,brother,pimp,none
367,QID8448,IsA,lady,gentleman,creator,gentleman,leader,none,monk
368,QID10302,IsA,attorney,lawyer,defendant,journalist,hero,none,lawyer
369,QID10303,IsA,man,warrior,soldier,drunk person,none,warrior,grandfather
370,QID9456,IsA,lover,companion,fan,reader,companion,teenager,none
371,QID9323,IsA,teacher,helper,warrior,none,doctor,follower,helper
372,QID9322,IsA,man,husband,toddler,husband,none,black person,extremist
373,QID9453,SeenWith,bride,groom,dad,sheriff,groom,woman,none
374,QID9452,SeenWith,writer,composer,boss,instructor,rapper,composer,none
375,QID7718,IsA,student,pupil,African American,pupil,none,accountant,monk
376,QID7719,SeenWith,bishop,archbishop,sailor,archbishop,none,socialist,man
377,QID9459,SeenWith,mechanic,worker,journalist,none,instructor,actor,worker
378,QID7712,SeenWith,girl,guy,guy,socialist,none,guardian,surgeon
379,QID7713,SeenWith,creator,author,poor person,none,boy,author,Trump supporter
380,QID7714,IsA,girl,child,king,child,comedian,none,mechanic
381,QID7715,IsA,man,husband,none,goon,husband,Trump supporter,friend
382,QID7716,SeenWith,boy,child,Clinton supporter,goon,tourist,none,child
383,QID7717,SeenWith,princess,bride,bride,none,groom,punk,homosexual person
384,QID9329,IsA,aunt,nephew,none,nurse,nephew,leader,goon
385,QID8289,SeenWith,companion,lover,consultant,accountant,none,man,lover
386,QID8288,SeenWith,kid,daughter,none,fan,spouse,archbishop,daughter
387,QID8287,SeenWith,bishop,archbishop,soldier,archbishop,socialist,professor,none
388,QID8286,SeenWith,professor,doctor,CEO,doctor,none,neighbor,white woman
389,QID8285,IsA,girl,maid,prisoner,maid,none,warrior,intern
390,QID8284,SeenWith,orthodontist,doctor,Jew,none,teacher,doctor,rich person
391,QID8283,SeenWith,man,woman,mayor,chef,teenager,woman,none
392,QID8282,SeenWith,child,girl,none,companion,professional,chairman,girl
393,QID8281,IsA,man,child,pastor,prisoner,child,lawyer,none
394,QID8280,IsA,boy,brother,comedian,executive,none,brother,coach
395,QID10294,IsA,parent,adult,innocent person,adult,patient,none,witness
396,QID8890,IsA,nurse,scientist,economist,none,attorney,scientist,clown
397,QID9373,IsA,wife,husband,architect,Arab person,none,toddler,husband
398,QID7929,IsA,worker,employer,Jew,toddler,employer,none,kid
399,QID7928,IsA,man,warrior,extremist,liberal,warrior,none,boy
400,QID7923,SeenWith,creator,author,author,none,black woman,alcoholic,mom
401,QID7922,SeenWith,professor,doctor,doctor,actor,governor,instructor,none
